start,pc1,SP500,MP_pm,CBI_pm,MP_median,CBI_median
2005-12-13 14:15,-0.02694551,0.52662,-0.02694551,-0,-0.04484444,0.01789893
2006-01-31 14:14,0.02963536,-0.22803,0.02963536,0,0.02840183,0.00123353
2006-03-28 14:15,0.04568123,-0.62108,0.04568123,0,0.05983945,-0.01415822
2006-05-10 14:15,0.05038623,-0.19309,0.05038623,0,0.03669583,0.0136904
2006-06-29 14:15,-0.04262112,0.54151,-0.04262112,-0,-0.05356927,0.01094815
2006-08-08 14:15,-0.04025978,-0.2469,-0,-0.04025978,-0.00542162,-0.03483816
2006-09-20 14:15,0.01769471,-0.26777,0.01769471,0,0.02479889,-0.00710418
2006-10-25 14:15,-0.01039445,-0.07474,-0,-0.01039445,-0.00074483,-0.00964962
2006-12-12 14:15,-0.03211267,0.26109,-0.03211267,-0,-0.03160993,-0.00050274
2007-01-31 14:15,-0.00802387,0.4816,-0.00802387,-0,-0.0327017,0.02467783
2007-03-21 14:15,-0.08278661,0.81634,-0.08278661,-0,-0.09002412,0.00723751
2007-05-09 14:15,0.03635639,-0.13457,0.03635639,0,0.02619477,0.01016162
2007-06-28 14:15,0.01201642,-0.27362,0.01201642,0,0.02230824,-0.01029182
2007-08-07 14:15,-0.02138079,-1.07689,-0,-0.02138079,0.05346185,-0.07484264
2007-08-10 09:15,-0.00290783,-1.18487,-0,-0.00290783,0.06913089,-0.07203872
2007-08-17 08:15,-0.02824396,1.00788,-0.02824396,-0,-0.07416317,0.04591921
2007-09-18 14:15,-0.20369923,1.32029,-0.20369923,-0,-0.18050162,-0.02319761
2007-10-31 14:15,0.05304575,-0.41526,0.05304575,0,0.05126065,0.0017851
2007-12-11 14:15,0.03724435,-1.76769,0.03724435,0,0.12392659,-0.08668224
2008-01-22 08:20,-0.15795399,NaN,-0,-0,0,0
2008-01-30 14:15,-0.12004853,0.81482,-0.12004853,-0,-0.10856453,-0.011484
2008-03-11 08:30,0.10109703,1.41888,0,0.10109703,-0.03397667,0.1350737
2008-03-18 14:15,0.05212009,-0.94124,0.05212009,0,0.08213138,-0.03001129
2008-04-30 14:15,-0.07904443,0.16293,-0.07904443,-0,-0.04922824,-0.02981619
2008-06-25 14:15,-0.05301631,0.03392,-0.05301631,-0,-0.02852883,-0.02448748
2008-08-05 14:15,-0.0357333,0.13432,-0.0357333,-0,-0.02586833,-0.00986497
2008-09-16 14:15,0.10477371,-0.62947,0.10477371,0,0.0898855,0.01488821
2008-10-08 07:00,-0.03507417,NaN,-0,-0,0,0
2008-10-29 14:17,-0.07880913,-1.12724,-0,-0.07880913,0.02774711,-0.10655624
2008-11-25 08:15,-0.09180127,1.64061,-0.09180127,-0,-0.14363467,0.0518334
2008-12-16 14:15,-0.24582442,1.59331,-0.24582442,-0,-0.2178285,-0.02799592
2009-01-28 14:15,-0.01045674,-0.1973,-0,-0.01045674,0.00652514,-0.01698188
2009-03-18 14:15,-0.06036648,1.80819,-0.06036648,-0,-0.13790031,0.07753383
2009-04-29 14:15,0.01677239,0.62292,0,0.01677239,-0.02872225,0.04549464
2009-06-24 14:15,0.03822573,-0.6802,0.03822573,0,0.05963358,-0.02140785
2009-08-12 14:15,-0.01405634,-0.26438,-0,-0.01405634,0.00872141,-0.02277775
2009-09-23 14:15,-0.08738741,0.52867,-0.08738741,-0,-0.07518751,-0.0121999
2009-11-04 14:15,-0.02473864,0.08621,-0.02473864,-0,-0.017505,-0.00723364
2009-12-16 14:15,0.00163136,-0.05211,0.00163136,0,0.00391996,-0.0022886
2010-01-27 14:15,0.02757133,0.09656,0,0.02757133,0.00803342,0.01953791
2010-03-16 14:15,-0.03560077,0.19305,-0.03560077,-0,-0.02930071,-0.00630006
2010-04-28 14:15,-0.0066651,0.16698,-0.0066651,-0,-0.01327984,0.00661474
2010-06-23 14:15,0.0037599,0.34692,0,0.0037599,-0.01878669,0.02254659
2010-08-10 14:15,-0.01782857,0.68052,-0.01782857,-0,-0.04945406,0.03162549
2010-09-21 14:15,-0.00560492,0.59361,-0.00560492,-0,-0.03816486,0.03255994
2010-11-03 14:15,-0.00184568,-0.30103,-0,-0.00184568,0.01701005,-0.01885573
2010-12-14 14:15,-0.00464501,0.01285,-0.00464501,-0,-0.003088,-0.00155701
2011-01-26 14:15,-0.00792444,-0.08019,-0,-0.00792444,0.00081484,-0.00873928
2011-03-15 14:15,0.00675772,0.27359,0,0.00675772,-0.01291938,0.0196771
2011-04-27 12:30,-0.01029666,0.1752,-0.01029666,-0,-0.0155853,0.00528864
2011-06-22 12:30,0.00337886,0.10646,0,0.00337886,-0.00465258,0.00803144
2011-08-09 14:15,-0.02630704,-0.87788,-0,-0.02630704,0.03914334,-0.06545038
2011-09-21 14:15,0.05393922,-0.609,0.05393922,0,0.06324882,-0.0093096
2011-11-02 12:30,0.00951031,-0.13996,0.00951031,0,0.01309282,-0.00358251
2011-12-13 14:15,0.00935067,-0.81154,0.00935067,0,0.05302021,-0.04366954
2012-01-25 12:30,-0.01793829,0.30319,-0.01793829,-0,-0.02703071,0.00909242
2012-03-13 14:15,0.00802387,0.02241,0,0.00802387,0.00267693,0.00534694
2012-04-25 12:30,0,-0.0166,0,0,0.00098889,-0.00098889
2012-06-20 12:30,0.01620543,-0.02733,0.01620543,0,0.00973081,0.00647462
2012-08-01 14:15,0.01266329,-0.1668,0.01266329,0,0.01626822,-0.00360493
2012-09-13 12:30,0.01567094,0.61107,0,0.01567094,-0.02856705,0.04423799
2012-10-24 14:15,0,-0.00141,0,0,8.4e-05,-8.4e-05
2012-12-12 12:30,-0.00353894,0.39349,-0.00353894,-0,-0.02521036,0.02167142
2013-01-30 14:15,-0.00337886,-0.07702,-0,-0.00337886,0.00289879,-0.00627765
2013-03-20 14:00,0.00181919,0.10916,0,0.00181919,-0.00559326,0.00741245
2013-05-01 14:00,0.00111939,0.14053,0,0.00111939,-0.00781193,0.00893132
2013-06-19 14:00,0.00474446,-0.06366,0.00474446,0,0.00616457,-0.00142011
2013-07-31 14:00,-0.00409198,-0.03255,-0,-0.00409198,-0.00010693,-0.00398505
2013-09-18 14:00,-0.01510175,1.00779,-0.01510175,-0,-0.06758671,0.05248496
2013-10-30 14:00,0.00221214,-0.29372,0.00221214,0,0.01860349,-0.01639135
2013-12-18 14:00,0.0013268,0.7595,0,0.0013268,-0.04458136,0.04590816
2014-01-29 14:00,0.00325635,-0.40308,0.00325635,0,0.02564036,-0.02238401
2014-03-19 14:00,0.01604774,-0.20472,0.01604774,0,0.0202194,-0.00417166
2014-04-30 14:00,0.00110607,0.01755,0,0.00110607,-0.00049245,0.00159852
2014-06-18 14:00,0.0069178,0.31782,0,0.0069178,-0.0154742,0.022392
2014-07-30 14:00,-0.00581173,0.39686,-0.00581173,-0,-0.02654752,0.02073579
2014-09-17 14:00,0.01367552,0.24878,0,0.01367552,-0.0079825,0.02165802
2014-10-29 14:00,0.0217596,-0.29393,0.0217596,0,0.02838973,-0.00663013
2014-12-17 14:00,-0.04941867,0.74124,-0.04941867,-0,-0.06886631,0.01944764
2015-01-28 14:00,-0.00587403,-0.25168,-0,-0.00587403,0.01205601,-0.01793004
2015-03-18 14:00,-0.06308127,1.42474,-0.06308127,-0,-0.11641492,0.05333365
2015-04-29 14:00,0,0.09256,0,0,-0.00551396,0.00551396
2015-06-17 14:00,-0.04155506,0.33272,-0.04155506,-0,-0.04059825,-0.00095681
2015-07-29 14:00,-0.00928838,0.12738,-0.00928838,-0,-0.01223244,0.00294406
2015-09-17 14:00,-0.06958112,0.14133,-0.06958112,-0,-0.04320984,-0.02637128
2015-10-28 14:00,0.03942826,-0.6055,0.03942826,0,0.05578484,-0.01635658
2015-12-16 14:00,0.024342,0.13922,0,0.024342,0.00387742,0.02046458
2016-01-27 14:00,-0.02732544,-0.36597,-0,-0.02732544,0.00813876,-0.0354642
2016-03-16 14:00,-0.08459395,0.26709,-0.08459395,-0,-0.058208,-0.02638595
2016-04-27 14:00,0.01067703,0.24476,0,0.01067703,-0.00924227,0.0199193
2016-06-15 14:00,-0.04252349,-0.04467,-0,-0.04252349,-0.01860067,-0.02392282
2016-07-27 14:00,0.00508768,0.21188,0,0.00508768,-0.01007823,0.01516591
2016-09-21 14:00,-0.03507374,0.29354,-0.03507374,-0,-0.03502357,-5.017e-05
2016-11-02 14:00,0.00328489,0.06189,0,0.00328489,-0.00204445,0.00532934
2016-12-14 14:00,0.03693849,-0.24159,0.03693849,0,0.03286119,0.0040773
2017-02-01 14:00,-0.02036207,0.16147,-0.02036207,-0,-0.01980009,-0.00056198
2017-03-15 14:00,-0.04659673,0.28177,-0.04659673,-0,-0.0400839,-0.00651283
2017-05-03 14:00,0.01371243,0.03859,0,0.01371243,0.00455734,0.00915509
2017-06-14 14:00,0.01901747,-0.0406,0.01901747,0,0.01192735,0.00709012
2017-07-26 14:00,-0.01310946,0.02098,-0.01310946,-0,-0.00780455,-0.00530491
2017-09-20 14:00,0.04170149,-0.14615,0.04170149,0,0.02955716,0.01214433
2017-11-01 14:00,0.00181481,0.08571,0,0.00181481,-0.00419849,0.0060133
2017-12-13 14:00,-0.00581173,0.07573,-0.00581173,-0,-0.00741723,0.0016055
2018-01-31 14:00,0.00508724,-0.10361,0.00508724,0,0.00871585,-0.00362861
2018-03-21 14:00,-0.00148644,0.3479,-0.00148644,-0,-0.02146824,0.0199818
2018-05-02 14:00,-0.00517779,0.1428,-0.00517779,-0,-0.01109574,0.00591795
2018-06-13 14:00,0.01780491,-0.13533,0.01780491,0,0.0169643,0.00084061
2018-08-01 14:00,-0.00295558,0.02134,-0.00295558,-0,-0.00274905,-0.00020653
2018-09-26 14:00,0.00104213,0.22624,0,0.00104213,-0.01295645,0.01399858
2018-11-08 14:00,0.00414192,0.09441,0,0.00414192,-0.00355321,0.00769513
2018-12-19 14:00,0.023022,-0.94125,0.023022,0,0.06758293,-0.04456093
2019-01-30 14:00,-0.02477215,0.77383,-0.02477215,-0,-0.0584845,0.03371235
2019-03-20 14:00,-0.03259716,0.50599,-0.03259716,-0,-0.0464413,0.01384414
2019-05-01 14:00,-0.0468687,0.20476,-0.0468687,-0,-0.03563227,-0.01123643
2019-06-19 14:00,-0.06768759,0.23767,-0.06768759,-0,-0.04800222,-0.01968537
2019-07-31 14:00,0.04764201,-0.13745,0.04764201,0,0.03200914,0.01563287
2019-09-18 14:00,0.03129203,-0.37358,0.03129203,0,0.03790084,-0.00660881
2019-10-11 11:00,-0.00200348,0.19962,-0.00200348,-0,-0.01289346,0.01088998
2019-10-30 14:00,0.01349164,0.14959,0,0.01349164,-0.00216552,0.01565716
2019-12-11 14:00,-0.00359915,0.16766,-0.00359915,-0,-0.01178738,0.00818823
2020-01-29 14:00,0.00884406,0.02827,0,0.00884406,0.00273794,0.00610612
2020-03-03 10:00,-0.16389354,0.65188,-0.16389354,-0,-0.12078041,-0.04311313
2020-03-15 17:00,-0.0304302,NaN,-0,-0,0,0
2020-04-29 14:00,-0.01414918,-0.18878,-0,-0.01414918,0.00417137,-0.01832055
2020-06-10 14:00,-0.00227279,0.59258,-0.00227279,-0,-0.03643743,0.03416464
2020-07-29 14:00,-0.00408104,0.06893,-0.00408104,-0,-0.0061468,0.00206576
2020-09-16 14:00,-0.00094779,0.40618,-0.00094779,-0,-0.02467076,0.02372297
2020-11-05 14:00,-0.00110607,0.0341,-0.00110607,-0,-0.00258443,0.00147836
2020-12-16 14:00,0.00025253,-0.16237,0.00025253,0,0.00979893,-0.0095464
2021-01-27 14:00,0.00176843,-0.34152,0.00176843,0,0.02122917,-0.01946074
2021-03-17 14:00,-0.00811771,0.53485,-0.00811771,-0,-0.03592081,0.0278031
2021-04-28 14:00,-0.00448328,0.05755,-0.00448328,-0,-0.00567,0.00118672
2021-06-16 14:00,0.02249166,-0.49477,0.02249166,0,0.04072015,-0.01822849
2021-07-28 14:00,0.00221214,0.18406,0,0.00221214,-0.00985871,0.01207085
2021-09-22 14:00,0,0.37317,0,0,-0.0222304,0.0222304
2021-11-03 14:00,0.00592188,0.23372,0,0.00592188,-0.01096217,0.01688405
2021-12-15 14:00,0.03525696,0.62031,0,0.03525696,-0.01932448,0.05458144
2022-01-26 14:00,-0.00789972,-0.2151,-0,-0.00789972,0.00886403,-0.01676375
2022-03-16 14:00,0.09762881,-0.74763,0.09762881,0,0.09335205,0.00427676
2022-05-04 14:00,-0.0316706,-0.14965,-0,-0.0316706,-0.00692038,-0.02475022
2022-06-13 15:15,0.15933841,-0.45255,0.15933841,0,0.10662841,0.05271
2022-06-15 14:00,0.07583308,-0.12554,0.07583308,0,0.04539518,0.0304379
2022-07-27 14:00,-0.00568505,0.05081,-0.00568505,-0,-0.00586937,0.00018432
2022-09-21 14:00,0.09087921,-1.35205,0.09087921,0,0.12598361,-0.0351044
2022-11-02 14:00,-0.07591869,0.70408,-0.07591869,-0,-0.07990264,0.00398395
2022-12-14 14:00,0.08684205,-1.14497,0.08684205,0,0.11162891,-0.02478686
2023-02-01 14:00,0.01030796,0.13746,0,0.01030796,-0.00303476,0.01334272
2023-03-22 14:00,-0.02776066,0.28513,-0.02776066,-0,-0.03086603,0.00310537
2023-05-03 14:00,0.01836955,0.11806,0,0.01836955,0.00215173,0.01621782
2023-06-14 14:00,0.05228828,-0.69926,0.05228828,0,0.06780029,-0.01551201
2023-07-26 14:00,0.00396222,0.08908,0,0.00396222,-0.00332554,0.00728776
2023-09-20 14:00,0.05101452,-0.17053,0.05101452,0,0.03566603,0.01534849
2023-11-01 14:00,-0.01378773,0.01259,-0.01378773,-0,-0.00764387,-0.00614386
2023-12-13 14:00,-0.05147917,0.66225,-0.05147917,-0,-0.06519099,0.01371182
2024-01-31 14:00,0.02116942,-0.30595,0.02116942,0,0.02881069,-0.00764127
2024-03-20 14:00,-0.02103435,0.23831,-0.02103435,-0,-0.02471372,0.00367937
2024-05-01 14:00,-0.00697801,0.11812,-0.00697801,-0,-0.01052562,0.00354761
2024-06-12 14:00,0.01544246,-0.01564,0.01544246,0,0.00865293,0.00678953
2024-07-31 14:00,0.01620469,0.14066,0,0.01620469,-0.00027702,0.01648171
2024-09-18 14:00,-0.13406728,0.39743,-0.13406728,-0,-0.09070925,-0.04335803
